SBER RX Equity,,,AAL UW Equity,,,TSLA UW Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
1/9/15,63.1,,1/8/15,53.66,,1/8/15,210.615
1/12/15,62.9,,1/9/15,52.02,,1/9/15,206.66
1/13/15,60.31,,1/12/15,49.58,,1/12/15,202.21
1/14/15,60.05,,1/13/15,50.4,,1/13/15,204.25
1/15/15,61.8,,1/14/15,49.41,,1/14/15,192.69
1/16/15,61.99,,1/15/15,49.41,,1/15/15,191.87
1/19/15,61.8,,1/16/15,49.81,,1/16/15,193.07
1/20/15,60.8,,1/20/15,52.75,,1/20/15,191.93
1/21/15,62.8,,1/21/15,53.67,,1/21/15,196.57
1/22/15,64.35,,1/22/15,55.59,,1/22/15,201.62
1/23/15,64.45,,1/23/15,55.69,,1/23/15,201.29
1/26/15,60.49,,1/26/15,55.45,,1/26/15,206.55
1/27/15,61.2,,1/27/15,52.695,,1/27/15,205.98
1/28/15,60.63,,1/28/15,50.62,,1/28/15,199.37
1/29/15,60.5,,1/29/15,52.24,,1/29/15,205.2
1/30/15,61.5,,1/30/15,49.08,,1/30/15,203.6
2/2/15,61.4,,2/2/15,48.72,,2/2/15,210.94
2/3/15,62,,2/3/15,47.5,,2/3/15,218.36
2/4/15,61.04,,2/4/15,49.46,,2/4/15,218.55
2/5/15,62.41,,2/5/15,48.81,,2/5/15,220.99
2/6/15,64.31,,2/6/15,48.145,,2/6/15,217.36
2/9/15,65.57,,2/9/15,46.53,,2/9/15,217.48
2/10/15,65,,2/10/15,48.05,,2/10/15,216.29
2/11/15,65.12,,2/11/15,47.59,,2/11/15,212.8
2/12/15,67.21,,2/12/15,47.88,,2/12/15,202.88
2/13/15,70.6,,2/13/15,48.39,,2/13/15,203.77
2/16/15,70,,2/17/15,48.01,,2/17/15,204.35
2/17/15,72.45,,2/18/15,49.31,,2/18/15,204.46
2/18/15,76.4,,2/19/15,49.78,,2/19/15,211.705
2/19/15,73.78,,2/20/15,51.02,,2/20/15,217.11
2/20/15,74.75,,2/23/15,51.31,,2/23/15,207.335
2/24/15,73.7,,2/24/15,51.52,,2/24/15,204.11
2/25/15,74.2,,2/25/15,49.73,,2/25/15,203.76
2/26/15,75.95,,2/26/15,49.35,,2/26/15,207.19
2/27/15,75.91,,2/27/15,47.9,,2/27/15,203.34
3/2/15,76.2,,3/2/15,48.31,,3/2/15,197.325
3/3/15,75.55,,3/3/15,48.77,,3/3/15,199.56
3/4/15,72.31,,3/4/15,48.95,,3/4/15,202.435
3/5/15,72.7,,3/5/15,48.395,,3/5/15,200.63
3/6/15,73.25,,3/6/15,47.995,,3/6/15,193.88
3/10/15,69.8,,3/9/15,47.92,,3/9/15,190.88
3/11/15,70.68,,3/10/15,46.735,,3/10/15,190.32
3/12/15,70.79,,3/11/15,47.39,,3/11/15,193.74
3/13/15,67.87,,3/12/15,48.68,,3/12/15,191.07
3/16/15,65.57,,3/13/15,49.22,,3/13/15,188.68
3/17/15,64.65,,3/16/15,50.22,,3/16/15,195.7
3/18/15,65.26,,3/17/15,53.69,,3/17/15,194.73
3/19/15,64.9,,3/18/15,54.13,,3/18/15,200.71
3/20/15,67,,3/19/15,55.19,,3/19/15,195.65
3/23/15,65,,3/20/15,55.76,,3/20/15,198.08
3/24/15,65.6,,3/23/15,54.395,,3/23/15,199.63
3/25/15,64.8,,3/24/15,53.93,,3/24/15,201.72
3/26/15,62.85,,3/25/15,52.01,,3/25/15,194.3
3/27/15,61,,3/26/15,51.265,,3/26/15,190.405
3/30/15,63.01,,3/27/15,52.66,,3/27/15,185
3/31/15,62.88,,3/30/15,53.64,,3/30/15,190.57
4/1/15,64.5,,3/31/15,52.78,,3/31/15,188.77
4/2/15,65.92,,4/1/15,50.44,,4/1/15,187.59
4/3/15,65.5,,4/2/15,49.175,,4/2/15,191
4/6/15,68.99,,4/6/15,48.08,,4/6/15,203.1
4/7/15,69.6,,4/7/15,47.495,,4/7/15,203.25
4/8/15,69.4,,4/8/15,48.74,,4/8/15,207.67
4/9/15,72,,4/9/15,47.84,,4/9/15,210.09
4/10/15,71.5,,4/10/15,47.73,,4/10/15,210.9
4/13/15,74.1,,4/13/15,47.79,,4/13/15,209.78
4/14/15,74.05,,4/14/15,47.42,,4/14/15,207.46
4/15/15,76.49,,4/15/15,47.75,,4/15/15,207.83
4/16/15,76.5,,4/16/15,48.24,,4/16/15,206.7
4/17/15,72.5,,4/17/15,48.19,,4/17/15,206.79
4/20/15,73.5,,4/20/15,49.76,,4/20/15,205.27
4/21/15,75.24,,4/21/15,51.36,,4/21/15,209.41
4/22/15,73.9,,4/22/15,51.4,,4/22/15,219.44
4/23/15,75.8,,4/23/15,51.45,,4/23/15,218.6
4/24/15,75.75,,4/24/15,52.705,,4/24/15,218.425
4/27/15,75.2,,4/27/15,51.87,,4/27/15,231.55
4/28/15,75.7,,4/28/15,51.19,,4/28/15,230.48
4/29/15,75.2,,4/29/15,48.88,,4/29/15,232.45
4/30/15,76.9,,4/30/15,48.285,,4/30/15,226.05
5/5/15,80.21,,5/1/15,49.39,,5/1/15,226.03
5/6/15,79.2,,5/4/15,48.95,,5/4/15,230.51
5/7/15,76.5,,5/5/15,47.005,,5/5/15,232.95
5/8/15,75.5,,5/6/15,47.045,,5/6/15,230.43
5/12/15,75.19,,5/7/15,49.06,,5/7/15,236.8
5/13/15,75.24,,5/8/15,49.04,,5/8/15,236.61
5/14/15,74.31,,5/11/15,49.645,,5/11/15,239.49
5/15/15,75.05,,5/12/15,48.85,,5/12/15,244.74
5/18/15,75.36,,5/13/15,48.49,,5/13/15,243.18
5/19/15,73.35,,5/14/15,48.815,,5/14/15,244.1
5/20/15,71.6,,5/15/15,48.665,,5/15/15,248.84
5/21/15,73.25,,5/18/15,49,,5/18/15,248.75
5/22/15,74.35,,5/19/15,47.85,,5/19/15,247.14
5/25/15,74.46,,5/20/15,43.06,,5/20/15,244.35
5/26/15,74.67,,5/21/15,42.47,,5/21/15,245.62
5/27/15,74.23,,5/22/15,42.61,,5/22/15,247.73
5/28/15,73.6,,5/26/15,41.555,,5/26/15,247.455
